=== 双轨运行比对抽样样本 (一致/不一致) ===
ID=00001 | 单位ID=0001 | 类型=业务单据金额核对   | 旧系统=  3420232.60 | 新系统=  3420232.60 | 差异=    0.00 | 结论=一致   | 日期=2026-02-21
ID=00062 | 单位ID=0021 | 类型=凭证借贷汇总核对   | 旧系统=  3121142.10 | 新系统=  3121142.10 | 差异=    0.00 | 结论=一致   | 日期=2026-03-06
ID=00063 | 单位ID=0021 | 类型=月末科目余额比对   | 旧系统=  2654881.74 | 新系统=  2654881.74 | 差异=    0.00 | 结论=一致   | 日期=2025-11-09
ID=00064 | 单位ID=0022 | 类型=业务单据金额核对   | 旧系统=  2934836.49 | 新系统=  2934836.49 | 差异=    0.00 | 结论=一致   | 日期=2026-02-23
ID=00065 | 单位ID=0022 | 类型=凭证借贷汇总核对   | 旧系统=  4775989.86 | 新系统=  4776555.75 | 差异=  565.89 | 结论=不一致  | 日期=2026-07-23
ID=00066 | 单位ID=0022 | 类型=月末科目余额比对   | 旧系统=  3516409.60 | 新系统=  3516409.60 | 差异=    0.00 | 结论=一致   | 日期=2026-04-01
ID=00067 | 单位ID=0023 | 类型=业务单据金额核对   | 旧系统=  2320662.18 | 新系统=  2321141.82 | 差异=  479.64 | 结论=不一致  | 日期=2026-03-15
ID=00068 | 单位ID=0023 | 类型=凭证借贷汇总核对   | 旧系统=   649381.49 | 新系统=   649381.49 | 差异=    0.00 | 结论=一致   | 日期=2025-12-16
ID=00069 | 单位ID=0023 | 类型=月末科目余额比对   | 旧系统=  4893380.60 | 新系统=  4893380.60 | 差异=    0.00 | 结论=一致   | 日期=2026-07-11
ID=00070 | 单位ID=0024 | 类型=业务单据金额核对   | 旧系统=  3773429.35 | 新系统=  3773429.35 | 差异=    0.00 | 结论=一致   | 日期=2026-07-03
ID=00071 | 单位ID=0024 | 类型=凭证借贷汇总核对   | 旧系统=  3585002.65 | 新系统=  3585002.65 | 差异=    0.00 | 结论=一致   | 日期=2025-11-08
ID=00072 | 单位ID=0024 | 类型=月末科目余额比对   | 旧系统=   928478.47 | 新系统=   928478.47 | 差异=    0.00 | 结论=一致   | 日期=2026-04-17
ID=00073 | 单位ID=0025 | 类型=业务单据金额核对   | 旧系统=  4186620.10 | 新系统=  4186620.10 | 差异=    0.00 | 结论=一致   | 日期=2025-12-21
ID=00074 | 单位ID=0025 | 类型=凭证借贷汇总核对   | 旧系统=  3067628.51 | 新系统=  3067628.51 | 差异=    0.00 | 结论=一致   | 日期=2026-04-11
ID=00075 | 单位ID=0025 | 类型=月末科目余额比对   | 旧系统=  2109175.49 | 新系统=  2109175.49 | 差异=    0.00 | 结论=一致   | 日期=2026-08-06
ID=00076 | 单位ID=0026 | 类型=业务单据金额核对   | 旧系统=  1218704.64 | 新系统=  1218704.64 | 差异=    0.00 | 结论=一致   | 日期=2026-03-27
ID=00077 | 单位ID=0026 | 类型=凭证借贷汇总核对   | 旧系统=  2858789.39 | 新系统=  2858789.39 | 差异=    0.00 | 结论=一致   | 日期=2026-07-24
ID=00078 | 单位ID=0026 | 类型=月末科目余额比对   | 旧系统=  3277427.29 | 新系统=  3277427.29 | 差异=    0.00 | 结论=一致   | 日期=2026-04-12
ID=00079 | 单位ID=0027 | 类型=业务单据金额核对   | 旧系统=  4706292.37 | 新系统=  4706292.37 | 差异=    0.00 | 结论=一致   | 日期=2026-02-19
ID=00080 | 单位ID=0027 | 类型=凭证借贷汇总核对   | 旧系统=  1377636.26 | 新系统=  1377636.26 | 差异=    0.00 | 结论=一致   | 日期=2026-04-29
