=== 凭证分录复式记账明细抽样样本 (200条) ===
分录ID=000001 | 凭证ID=000001 | 科目=1002 银行存款   | 借方= 75081.91 | 贷方=     0.00
分录ID=000019 | 凭证ID=000010 | 科目=1002 银行存款   | 借方= 80892.79 | 贷方=     0.00
分录ID=000020 | 凭证ID=000010 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 80892.79
分录ID=000021 | 凭证ID=000011 | 科目=1002 银行存款   | 借方=141518.10 | 贷方=     0.00
分录ID=000022 | 凭证ID=000011 | 科目=2202 应付账款   | 借方=     0.00 | 贷方=141518.10
分录ID=000023 | 凭证ID=000012 | 科目=1002 银行存款   | 借方=101841.69 | 贷方=     0.00
分录ID=000024 | 凭证ID=000012 | 科目=2202 应付账款   | 借方=     0.00 | 贷方=101841.69
分录ID=000025 | 凭证ID=000013 | 科目=1002 银行存款   | 借方=227677.61 | 贷方=     0.00
分录ID=000026 | 凭证ID=000013 | 科目=2202 应付账款   | 借方=     0.00 | 贷方=227677.61
分录ID=000027 | 凭证ID=000014 | 科目=1002 银行存款   | 借方= 22133.45 | 贷方=     0.00
分录ID=000028 | 凭证ID=000014 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 22133.45
分录ID=000029 | 凭证ID=000015 | 科目=1002 银行存款   | 借方= 32766.45 | 贷方=     0.00
分录ID=000030 | 凭证ID=000015 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 32766.45
分录ID=000031 | 凭证ID=000016 | 科目=1002 银行存款   | 借方= 13652.05 | 贷方=     0.00
分录ID=000032 | 凭证ID=000016 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 13652.05
分录ID=000033 | 凭证ID=000017 | 科目=1002 银行存款   | 借方= 25295.90 | 贷方=     0.00
分录ID=000034 | 凭证ID=000017 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 25295.90
分录ID=000035 | 凭证ID=000018 | 科目=1002 银行存款   | 借方= 37943.85 | 贷方=     0.00
分录ID=000036 | 凭证ID=000018 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 37943.85
分录ID=000037 | 凭证ID=000019 | 科目=1002 银行存款   | 借方= 16954.77 | 贷方=     0.00
分录ID=000038 | 凭证ID=000019 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 16954.77
分录ID=000039 | 凭证ID=000020 | 科目=1002 银行存款   | 借方= 25432.16 | 贷方=     0.00
分录ID=000040 | 凭证ID=000020 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 25432.16
分录ID=000041 | 凭证ID=000021 | 科目=1002 银行存款   | 借方= 20374.06 | 贷方=     0.00
分录ID=000042 | 凭证ID=000021 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 20374.06
分录ID=000043 | 凭证ID=000022 | 科目=1002 银行存款   | 借方= 30561.10 | 贷方=     0.00
分录ID=000044 | 凭证ID=000022 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 30561.10
分录ID=000045 | 凭证ID=000023 | 科目=1002 银行存款   | 借方= 11392.06 | 贷方=     0.00
分录ID=000046 | 凭证ID=000023 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 11392.06
分录ID=000047 | 凭证ID=000024 | 科目=1002 银行存款   | 借方= 17088.10 | 贷方=     0.00
分录ID=000048 | 凭证ID=000024 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 17088.10
分录ID=000049 | 凭证ID=000025 | 科目=1002 银行存款   | 借方=115139.42 | 贷方=     0.00
分录ID=000050 | 凭证ID=000025 | 科目=2202 应付账款   | 借方=     0.00 | 贷方=115139.42
分录ID=000051 | 凭证ID=000026 | 科目=1002 银行存款   | 借方= 35386.82 | 贷方=     0.00
分录ID=000052 | 凭证ID=000026 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 35386.82
分录ID=000053 | 凭证ID=000027 | 科目=1002 银行存款   | 借方= 22786.42 | 贷方=     0.00
分录ID=000054 | 凭证ID=000027 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 22786.42
分录ID=000055 | 凭证ID=000028 | 科目=1002 银行存款   | 借方= 42139.33 | 贷方=     0.00
分录ID=000056 | 凭证ID=000028 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 42139.33
分录ID=000057 | 凭证ID=000029 | 科目=1002 银行存款   | 借方= 10294.53 | 贷方=     0.00
分录ID=000058 | 凭证ID=000029 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 10294.53
分录ID=000059 | 凭证ID=000030 | 科目=1002 银行存款   | 借方= 82470.97 | 贷方=     0.00
分录ID=000060 | 凭证ID=000030 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 82470.97
分录ID=000061 | 凭证ID=000031 | 科目=1002 银行存款   | 借方=  9922.25 | 贷方=     0.00
分录ID=000062 | 凭证ID=000031 | 科目=2202 应付账款   | 借方=     0.00 | 贷方=  9922.25
分录ID=000063 | 凭证ID=000032 | 科目=1002 银行存款   | 借方=  3076.07 | 贷方=     0.00
分录ID=000064 | 凭证ID=000032 | 科目=2202 应付账款   | 借方=     0.00 | 贷方=  3076.07
分录ID=000065 | 凭证ID=000033 | 科目=1002 银行存款   | 借方= 37821.36 | 贷方=     0.00
分录ID=000066 | 凭证ID=000033 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 37821.36
分录ID=000067 | 凭证ID=000034 | 科目=1002 银行存款   | 借方= 25124.40 | 贷方=     0.00
分录ID=000068 | 凭证ID=000034 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 25124.40
分录ID=000069 | 凭证ID=000035 | 科目=1002 银行存款   | 借方= 37686.61 | 贷方=     0.00
分录ID=000070 | 凭证ID=000035 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 37686.61
分录ID=000071 | 凭证ID=000036 | 科目=1002 银行存款   | 借方= 23142.92 | 贷方=     0.00
分录ID=000072 | 凭证ID=000036 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 23142.92
分录ID=000073 | 凭证ID=000037 | 科目=1002 银行存款   | 借方= 34714.38 | 贷方=     0.00
分录ID=000074 | 凭证ID=000037 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 34714.38
分录ID=000075 | 凭证ID=000038 | 科目=1002 银行存款   | 借方= 21579.58 | 贷方=     0.00
分录ID=000076 | 凭证ID=000038 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 21579.58
分录ID=000077 | 凭证ID=000039 | 科目=1002 银行存款   | 借方= 32369.38 | 贷方=     0.00
分录ID=000078 | 凭证ID=000039 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 32369.38
分录ID=000079 | 凭证ID=000040 | 科目=1002 银行存款   | 借方= 12978.88 | 贷方=     0.00
分录ID=000080 | 凭证ID=000040 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 12978.88
分录ID=000081 | 凭证ID=000041 | 科目=1002 银行存款   | 借方= 36907.43 | 贷方=     0.00
分录ID=000082 | 凭证ID=000041 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 36907.43
分录ID=000083 | 凭证ID=000042 | 科目=1002 银行存款   | 借方= 83010.80 | 贷方=     0.00
分录ID=000084 | 凭证ID=000042 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 83010.80
分录ID=000085 | 凭证ID=000043 | 科目=1002 银行存款   | 借方= 37049.37 | 贷方=     0.00
分录ID=000086 | 凭证ID=000043 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 37049.37
分录ID=000087 | 凭证ID=000044 | 科目=1002 银行存款   | 借方= 49628.90 | 贷方=     0.00
分录ID=000088 | 凭证ID=000044 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 49628.90
分录ID=000089 | 凭证ID=000045 | 科目=1002 银行存款   | 借方= 27921.30 | 贷方=     0.00
分录ID=000090 | 凭证ID=000045 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 27921.30
分录ID=000091 | 凭证ID=000046 | 科目=1002 银行存款   | 借方= 23621.56 | 贷方=     0.00
分录ID=000092 | 凭证ID=000046 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 23621.56
分录ID=000093 | 凭证ID=000047 | 科目=1002 银行存款   | 借方= 14109.41 | 贷方=     0.00
分录ID=000094 | 凭证ID=000047 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 14109.41
分录ID=000095 | 凭证ID=000048 | 科目=1002 银行存款   | 借方= 35307.40 | 贷方=     0.00
分录ID=000096 | 凭证ID=000048 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 35307.40
分录ID=000097 | 凭证ID=000049 | 科目=1002 银行存款   | 借方= 45231.86 | 贷方=     0.00
分录ID=000098 | 凭证ID=000049 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 45231.86
分录ID=000099 | 凭证ID=000050 | 科目=1002 银行存款   | 借方= 38954.40 | 贷方=     0.00
分录ID=000100 | 凭证ID=000050 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 38954.40
分录ID=000101 | 凭证ID=000051 | 科目=1002 银行存款   | 借方= 73810.12 | 贷方=     0.00
分录ID=000102 | 凭证ID=000051 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 73810.12
分录ID=000103 | 凭证ID=000052 | 科目=1002 银行存款   | 借方= 26776.61 | 贷方=     0.00
分录ID=000104 | 凭证ID=000052 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 26776.61
分录ID=000105 | 凭证ID=000053 | 科目=1002 银行存款   | 借方=182720.26 | 贷方=     0.00
分录ID=000106 | 凭证ID=000053 | 科目=2202 应付账款   | 借方=     0.00 | 贷方=182720.26
分录ID=000107 | 凭证ID=000054 | 科目=1002 银行存款   | 借方= 56354.68 | 贷方=     0.00
分录ID=000108 | 凭证ID=000054 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 56354.68
分录ID=000109 | 凭证ID=000055 | 科目=1002 银行存款   | 借方= 21913.25 | 贷方=     0.00
分录ID=000110 | 凭证ID=000055 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 21913.25
分录ID=000111 | 凭证ID=000056 | 科目=1002 银行存款   | 借方= 15411.44 | 贷方=     0.00
分录ID=000112 | 凭证ID=000056 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 15411.44
分录ID=000113 | 凭证ID=000057 | 科目=1002 银行存款   | 借方= 40788.94 | 贷方=     0.00
分录ID=000114 | 凭证ID=000057 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 40788.94
分录ID=000115 | 凭证ID=000058 | 科目=1002 银行存款   | 借方= 33509.07 | 贷方=     0.00
分录ID=000116 | 凭证ID=000058 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 33509.07
分录ID=000117 | 凭证ID=000059 | 科目=1002 银行存款   | 借方= 62762.20 | 贷方=     0.00
分录ID=000118 | 凭证ID=000059 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 62762.20
分录ID=000119 | 凭证ID=000060 | 科目=1002 银行存款   | 借方= 56653.95 | 贷方=     0.00
分录ID=000120 | 凭证ID=000060 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 56653.95
分录ID=000121 | 凭证ID=000061 | 科目=1002 银行存款   | 借方=  7576.47 | 贷方=     0.00
分录ID=000122 | 凭证ID=000061 | 科目=2202 应付账款   | 借方=     0.00 | 贷方=  7576.47
分录ID=000123 | 凭证ID=000062 | 科目=1002 银行存款   | 借方= 22826.57 | 贷方=     0.00
分录ID=000124 | 凭证ID=000062 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 22826.57
分录ID=000125 | 凭证ID=000063 | 科目=1002 银行存款   | 借方= 54014.52 | 贷方=     0.00
分录ID=000126 | 凭证ID=000063 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 54014.52
分录ID=000127 | 凭证ID=000064 | 科目=1002 银行存款   | 借方= 27977.83 | 贷方=     0.00
分录ID=000128 | 凭证ID=000064 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 27977.83
分录ID=000129 | 凭证ID=000065 | 科目=1002 银行存款   | 借方= 27937.77 | 贷方=     0.00
分录ID=000130 | 凭证ID=000065 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 27937.77
分录ID=000131 | 凭证ID=000066 | 科目=1002 银行存款   | 借方= 41906.66 | 贷方=     0.00
分录ID=000132 | 凭证ID=000066 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 41906.66
分录ID=000133 | 凭证ID=000067 | 科目=1002 银行存款   | 借方= 12673.20 | 贷方=     0.00
分录ID=000134 | 凭证ID=000067 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 12673.20
分录ID=000135 | 凭证ID=000068 | 科目=1002 银行存款   | 借方= 19009.79 | 贷方=     0.00
分录ID=000136 | 凭证ID=000068 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 19009.79
分录ID=000137 | 凭证ID=000069 | 科目=1002 银行存款   | 借方= 10536.04 | 贷方=     0.00
分录ID=000138 | 凭证ID=000069 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 10536.04
分录ID=000139 | 凭证ID=000070 | 科目=1002 银行存款   | 借方= 15804.05 | 贷方=     0.00
分录ID=000140 | 凭证ID=000070 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 15804.05
分录ID=000141 | 凭证ID=000071 | 科目=1002 银行存款   | 借方=  2457.70 | 贷方=     0.00
分录ID=000142 | 凭证ID=000071 | 科目=6602 管理费用   | 借方=     0.00 | 贷方=  2457.70
分录ID=000143 | 凭证ID=000072 | 科目=1002 银行存款   | 借方=  3686.56 | 贷方=     0.00
分录ID=000144 | 凭证ID=000072 | 科目=6602 管理费用   | 借方=     0.00 | 贷方=  3686.56
分录ID=000145 | 凭证ID=000073 | 科目=1002 银行存款   | 借方= 11864.52 | 贷方=     0.00
分录ID=000146 | 凭证ID=000073 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 11864.52
分录ID=000147 | 凭证ID=000074 | 科目=1002 银行存款   | 借方= 17796.79 | 贷方=     0.00
分录ID=000148 | 凭证ID=000074 | 科目=6602 管理费用   | 借方=     0.00 | 贷方= 17796.79
分录ID=000149 | 凭证ID=000075 | 科目=1002 银行存款   | 借方=  6254.98 | 贷方=     0.00
分录ID=000150 | 凭证ID=000075 | 科目=2202 应付账款   | 借方=     0.00 | 贷方=  6254.98
分录ID=000151 | 凭证ID=000076 | 科目=1002 银行存款   | 借方= 16878.64 | 贷方=     0.00
分录ID=000152 | 凭证ID=000076 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 16878.64
分录ID=000153 | 凭证ID=000077 | 科目=1002 银行存款   | 借方= 24988.44 | 贷方=     0.00
分录ID=000154 | 凭证ID=000077 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 24988.44
分录ID=000155 | 凭证ID=000078 | 科目=1002 银行存款   | 借方= 76397.53 | 贷方=     0.00
分录ID=000156 | 凭证ID=000078 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 76397.53
分录ID=000157 | 凭证ID=000079 | 科目=1002 银行存款   | 借方= 18093.67 | 贷方=     0.00
分录ID=000158 | 凭证ID=000079 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 18093.67
分录ID=000159 | 凭证ID=000080 | 科目=1002 银行存款   | 借方= 40200.96 | 贷方=     0.00
分录ID=000160 | 凭证ID=000080 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 40200.96
分录ID=000161 | 凭证ID=000081 | 科目=1002 银行存款   | 借方= 38878.15 | 贷方=     0.00
分录ID=000162 | 凭证ID=000081 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 38878.15
分录ID=000163 | 凭证ID=000082 | 科目=1002 银行存款   | 借方= 29459.87 | 贷方=     0.00
分录ID=000164 | 凭证ID=000082 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 29459.87
分录ID=000165 | 凭证ID=000083 | 科目=1002 银行存款   | 借方= 40034.68 | 贷方=     0.00
分录ID=000166 | 凭证ID=000083 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 40034.68
分录ID=000167 | 凭证ID=000084 | 科目=1002 银行存款   | 借方= 76804.04 | 贷方=     0.00
分录ID=000168 | 凭证ID=000084 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 76804.04
分录ID=000169 | 凭证ID=000085 | 科目=1002 银行存款   | 借方= 41764.26 | 贷方=     0.00
分录ID=000170 | 凭证ID=000085 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 41764.26
分录ID=000171 | 凭证ID=000086 | 科目=1002 银行存款   | 借方= 70787.53 | 贷方=     0.00
分录ID=000172 | 凭证ID=000086 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 70787.53
分录ID=000173 | 凭证ID=000087 | 科目=1002 银行存款   | 借方= 45711.47 | 贷方=     0.00
分录ID=000174 | 凭证ID=000087 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 45711.47
分录ID=000175 | 凭证ID=000088 | 科目=1002 银行存款   | 借方=  3672.94 | 贷方=     0.00
分录ID=000176 | 凭证ID=000088 | 科目=2202 应付账款   | 借方=     0.00 | 贷方=  3672.94
分录ID=000177 | 凭证ID=000089 | 科目=1002 银行存款   | 借方=171380.18 | 贷方=     0.00
分录ID=000178 | 凭证ID=000089 | 科目=2202 应付账款   | 借方=     0.00 | 贷方=171380.18
分录ID=000179 | 凭证ID=000090 | 科目=1002 银行存款   | 借方=144556.43 | 贷方=     0.00
分录ID=000180 | 凭证ID=000090 | 科目=2202 应付账款   | 借方=     0.00 | 贷方=144556.43
分录ID=000181 | 凭证ID=000091 | 科目=1002 银行存款   | 借方= 19147.95 | 贷方=     0.00
分录ID=000182 | 凭证ID=000091 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 19147.95
分录ID=000183 | 凭证ID=000092 | 科目=1002 银行存款   | 借方= 35132.94 | 贷方=     0.00
分录ID=000184 | 凭证ID=000092 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 35132.94
分录ID=000185 | 凭证ID=000093 | 科目=1002 银行存款   | 借方= 52178.97 | 贷方=     0.00
分录ID=000186 | 凭证ID=000093 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 52178.97
分录ID=000187 | 凭证ID=000094 | 科目=1002 银行存款   | 借方= 84904.16 | 贷方=     0.00
分录ID=000188 | 凭证ID=000094 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 84904.16
分录ID=000189 | 凭证ID=000095 | 科目=1002 银行存款   | 借方= 62324.72 | 贷方=     0.00
分录ID=000190 | 凭证ID=000095 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 62324.72
分录ID=000191 | 凭证ID=000096 | 科目=1002 银行存款   | 借方= 62704.48 | 贷方=     0.00
分录ID=000192 | 凭证ID=000096 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 62704.48
分录ID=000193 | 凭证ID=000097 | 科目=1002 银行存款   | 借方=  7376.44 | 贷方=     0.00
分录ID=000194 | 凭证ID=000097 | 科目=2202 应付账款   | 借方=     0.00 | 贷方=  7376.44
分录ID=000195 | 凭证ID=000098 | 科目=1002 银行存款   | 借方= 69097.37 | 贷方=     0.00
分录ID=000196 | 凭证ID=000098 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 69097.37
分录ID=000197 | 凭证ID=000099 | 科目=1002 银行存款   | 借方= 63001.66 | 贷方=     0.00
分录ID=000198 | 凭证ID=000099 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 63001.66
分录ID=000199 | 凭证ID=000100 | 科目=1002 银行存款   | 借方=  1601.92 | 贷方=     0.00
分录ID=000200 | 凭证ID=000100 | 科目=2202 应付账款   | 借方=     0.00 | 贷方=  1601.92
