=== 培训记录抽样样本 (覆盖全部4类培训及全部8个批次) ===
ID=0003 | 单位ID=0003 | 批次=1 | 类型=项目管理与关键用户培训      | 日期=2025-11-08 | 形式=线上集中 | 应到=71 | 实到=62 | 考核通关=61 | 认证=43
ID=0240 | 单位ID=0240 | 批次=3 | 类型=双轨运行与上线切换培训      | 日期=2026-04-05 | 形式=现场实操 | 应到=68 | 实到=58 | 考核通关=54 | 认证=0
ID=0402 | 单位ID=0402 | 批次=4 | 类型=项目管理与关键用户培训      | 日期=2026-05-03 | 形式=混合实训 | 应到=33 | 实到=32 | 考核通关=28 | 认证=26
ID=0405 | 单位ID=0405 | 批次=4 | 类型=业务操作与财务处理培训      | 日期=2026-04-24 | 形式=现场实操 | 应到=51 | 实到=46 | 考核通关=42 | 认证=0
ID=0398 | 单位ID=0398 | 批次=4 | 类型=数据准备与系统管理培训      | 日期=2026-05-01 | 形式=混合实训 | 应到=72 | 实到=68 | 考核通关=61 | 认证=0
ID=0399 | 单位ID=0399 | 批次=4 | 类型=双轨运行与上线切换培训      | 日期=2026-05-21 | 形式=线上集中 | 应到=40 | 实到=35 | 考核通关=33 | 认证=0
ID=0582 | 单位ID=0583 | 批次=5 | 类型=项目管理与关键用户培训      | 日期=2026-07-13 | 形式=线上集中 | 应到=36 | 实到=32 | 考核通关=31 | 认证=27
ID=0585 | 单位ID=0588 | 批次=5 | 类型=业务操作与财务处理培训      | 日期=2026-07-10 | 形式=混合实训 | 应到=37 | 实到=31 | 考核通关=29 | 认证=0
ID=0579 | 单位ID=0579 | 批次=5 | 类型=数据准备与系统管理培训      | 日期=2026-06-09 | 形式=线上集中 | 应到=66 | 实到=60 | 考核通关=59 | 认证=0
ID=0581 | 单位ID=0582 | 批次=5 | 类型=双轨运行与上线切换培训      | 日期=2026-07-02 | 形式=混合实训 | 应到=50 | 实到=48 | 考核通关=45 | 认证=0
ID=0769 | 单位ID=0821 | 批次=6 | 类型=项目管理与关键用户培训      | 日期=2026-07-31 | 形式=线上集中 | 应到=42 | 实到=38 | 考核通关=37 | 认证=30
ID=0770 | 单位ID=0859 | 批次=6 | 类型=业务操作与财务处理培训      | 日期=2026-08-26 | 形式=混合实训 | 应到=35 | 实到=34 | 考核通关=31 | 认证=0
ID=0771 | 单位ID=0814 | 批次=6 | 类型=数据准备与系统管理培训      | 日期=2026-08-14 | 形式=现场实操 | 应到=57 | 实到=50 | 考核通关=45 | 认证=0
ID=0772 | 单位ID=0962 | 批次=6 | 类型=双轨运行与上线切换培训      | 日期=2026-08-16 | 形式=线上集中 | 应到=25 | 实到=22 | 考核通关=21 | 认证=0
ID=0773 | 单位ID=1143 | 批次=7 | 类型=项目管理与关键用户培训      | 日期=2026-10-26 | 形式=现场实操 | 应到=16 | 实到= 0 | 考核通关= 0 | 认证=0
ID=0774 | 单位ID=1071 | 批次=7 | 类型=业务操作与财务处理培训      | 日期=2026-09-14 | 形式=混合实训 | 应到=18 | 实到= 0 | 考核通关= 0 | 认证=0
ID=0775 | 单位ID=1086 | 批次=7 | 类型=数据准备与系统管理培训      | 日期=2026-09-28 | 形式=混合实训 | 应到=16 | 实到= 0 | 考核通关= 0 | 认证=0
ID=0776 | 单位ID=1172 | 批次=7 | 类型=双轨运行与上线切换培训      | 日期=2026-10-22 | 形式=线上集中 | 应到=49 | 实到= 0 | 考核通关= 0 | 认证=0
ID=0777 | 单位ID=1250 | 批次=8 | 类型=项目管理与关键用户培训      | 日期=2026-12-08 | 形式=混合实训 | 应到=65 | 实到= 0 | 考核通关= 0 | 认证=0
ID=0778 | 单位ID=1295 | 批次=8 | 类型=业务操作与财务处理培训      | 日期=2026-12-23 | 形式=混合实训 | 应到=19 | 实到= 0 | 考核通关= 0 | 认证=0
ID=0779 | 单位ID=1478 | 批次=8 | 类型=数据准备与系统管理培训      | 日期=2026-12-16 | 形式=现场实操 | 应到=69 | 实到= 0 | 考核通关= 0 | 认证=0
ID=0780 | 单位ID=1281 | 批次=8 | 类型=双轨运行与上线切换培训      | 日期=2026-11-23 | 形式=线上集中 | 应到=27 | 实到= 0 | 考核通关= 0 | 认证=0
ID=0007 | 单位ID=0007 | 批次=1 | 类型=项目管理与关键用户培训      | 日期=2025-12-03 | 形式=现场实操 | 应到=76 | 实到=75 | 考核通关=74 | 认证=67
ID=0019 | 单位ID=0019 | 批次=1 | 类型=项目管理与关键用户培训      | 日期=2025-11-04 | 形式=线上集中 | 应到=20 | 实到=18 | 考核通关=16 | 认证=12
ID=0023 | 单位ID=0023 | 批次=1 | 类型=项目管理与关键用户培训      | 日期=2025-12-14 | 形式=现场实操 | 应到=26 | 实到=23 | 考核通关=21 | 认证=15
ID=0025 | 单位ID=0025 | 批次=1 | 类型=项目管理与关键用户培训      | 日期=2025-11-03 | 形式=混合实训 | 应到=65 | 实到=59 | 考核通关=54 | 认证=41
ID=0032 | 单位ID=0032 | 批次=1 | 类型=项目管理与关键用户培训      | 日期=2025-11-25 | 形式=混合实训 | 应到=22 | 实到=21 | 考核通关=19 | 认证=17
ID=0034 | 单位ID=0034 | 批次=1 | 类型=项目管理与关键用户培训      | 日期=2025-12-03 | 形式=现场实操 | 应到=24 | 实到=23 | 考核通关=21 | 认证=16
ID=0036 | 单位ID=0036 | 批次=1 | 类型=项目管理与关键用户培训      | 日期=2025-12-06 | 形式=现场实操 | 应到=18 | 实到=15 | 考核通关=14 | 认证=12
ID=0040 | 单位ID=0040 | 批次=1 | 类型=项目管理与关键用户培训      | 日期=2025-11-09 | 形式=混合实训 | 应到=31 | 实到=30 | 考核通关=27 | 认证=24
ID=0041 | 单位ID=0041 | 批次=1 | 类型=项目管理与关键用户培训      | 日期=2025-11-20 | 形式=线上集中 | 应到=78 | 实到=70 | 考核通关=63 | 认证=51
ID=0044 | 单位ID=0044 | 批次=1 | 类型=项目管理与关键用户培训      | 日期=2025-11-15 | 形式=线上集中 | 应到=73 | 实到=69 | 考核通关=68 | 认证=63
ID=0010 | 单位ID=0010 | 批次=1 | 类型=业务操作与财务处理培训      | 日期=2025-12-03 | 形式=现场实操 | 应到=72 | 实到=71 | 考核通关=69 | 认证=0
ID=0012 | 单位ID=0012 | 批次=1 | 类型=业务操作与财务处理培训      | 日期=2025-11-28 | 形式=现场实操 | 应到=20 | 实到=18 | 考核通关=17 | 认证=0
ID=0018 | 单位ID=0018 | 批次=1 | 类型=业务操作与财务处理培训      | 日期=2025-12-07 | 形式=混合实训 | 应到=22 | 实到=21 | 考核通关=19 | 认证=0
ID=0027 | 单位ID=0027 | 批次=1 | 类型=业务操作与财务处理培训      | 日期=2025-11-03 | 形式=混合实训 | 应到=20 | 实到=17 | 考核通关=16 | 认证=0
ID=0030 | 单位ID=0030 | 批次=1 | 类型=业务操作与财务处理培训      | 日期=2025-11-28 | 形式=现场实操 | 应到=33 | 实到=32 | 考核通关=31 | 认证=0
ID=0033 | 单位ID=0033 | 批次=1 | 类型=业务操作与财务处理培训      | 日期=2025-11-26 | 形式=混合实训 | 应到=40 | 实到=36 | 考核通关=34 | 认证=0
ID=0035 | 单位ID=0035 | 批次=1 | 类型=业务操作与财务处理培训      | 日期=2025-11-27 | 形式=线上集中 | 应到=36 | 实到=32 | 考核通关=30 | 认证=0
ID=0037 | 单位ID=0037 | 批次=1 | 类型=业务操作与财务处理培训      | 日期=2025-11-10 | 形式=现场实操 | 应到=71 | 实到=65 | 考核通关=64 | 认证=0
ID=0042 | 单位ID=0042 | 批次=1 | 类型=业务操作与财务处理培训      | 日期=2025-12-13 | 形式=线上集中 | 应到=43 | 实到=39 | 考核通关=35 | 认证=0
ID=0047 | 单位ID=0047 | 批次=1 | 类型=业务操作与财务处理培训      | 日期=2025-11-07 | 形式=混合实训 | 应到=33 | 实到=28 | 考核通关=26 | 认证=0
ID=0002 | 单位ID=0002 | 批次=1 | 类型=数据准备与系统管理培训      | 日期=2025-11-17 | 形式=现场实操 | 应到=58 | 实到=55 | 考核通关=50 | 认证=0
ID=0004 | 单位ID=0004 | 批次=1 | 类型=数据准备与系统管理培训      | 日期=2025-11-23 | 形式=现场实操 | 应到=65 | 实到=57 | 考核通关=54 | 认证=0
ID=0011 | 单位ID=0011 | 批次=1 | 类型=数据准备与系统管理培训      | 日期=2025-12-02 | 形式=现场实操 | 应到=51 | 实到=50 | 考核通关=49 | 认证=0
ID=0013 | 单位ID=0013 | 批次=1 | 类型=数据准备与系统管理培训      | 日期=2025-12-08 | 形式=现场实操 | 应到=79 | 实到=75 | 考核通关=69 | 认证=0
ID=0015 | 单位ID=0015 | 批次=1 | 类型=数据准备与系统管理培训      | 日期=2025-11-22 | 形式=现场实操 | 应到=25 | 实到=24 | 考核通关=21 | 认证=0
ID=0017 | 单位ID=0017 | 批次=1 | 类型=数据准备与系统管理培训      | 日期=2025-11-27 | 形式=混合实训 | 应到=35 | 实到=31 | 考核通关=30 | 认证=0
ID=0021 | 单位ID=0021 | 批次=1 | 类型=数据准备与系统管理培训      | 日期=2025-12-09 | 形式=现场实操 | 应到=40 | 实到=39 | 考核通关=36 | 认证=0
ID=0022 | 单位ID=0022 | 批次=1 | 类型=数据准备与系统管理培训      | 日期=2025-12-17 | 形式=线上集中 | 应到=41 | 实到=38 | 考核通关=34 | 认证=0
ID=0024 | 单位ID=0024 | 批次=1 | 类型=数据准备与系统管理培训      | 日期=2025-12-09 | 形式=混合实训 | 应到=36 | 实到=33 | 考核通关=32 | 认证=0
ID=0031 | 单位ID=0031 | 批次=1 | 类型=数据准备与系统管理培训      | 日期=2025-11-03 | 形式=现场实操 | 应到=33 | 实到=32 | 考核通关=30 | 认证=0
ID=0008 | 单位ID=0008 | 批次=1 | 类型=双轨运行与上线切换培训      | 日期=2025-12-05 | 形式=线上集中 | 应到=20 | 实到=18 | 考核通关=16 | 认证=0
ID=0009 | 单位ID=0009 | 批次=1 | 类型=双轨运行与上线切换培训      | 日期=2025-11-21 | 形式=线上集中 | 应到=53 | 实到=50 | 考核通关=45 | 认证=0
ID=0014 | 单位ID=0014 | 批次=1 | 类型=双轨运行与上线切换培训      | 日期=2025-11-21 | 形式=混合实训 | 应到=44 | 实到=43 | 考核通关=42 | 认证=0
ID=0016 | 单位ID=0016 | 批次=1 | 类型=双轨运行与上线切换培训      | 日期=2025-11-26 | 形式=线上集中 | 应到=34 | 实到=31 | 考核通关=28 | 认证=0
ID=0020 | 单位ID=0020 | 批次=1 | 类型=双轨运行与上线切换培训      | 日期=2025-11-20 | 形式=现场实操 | 应到=67 | 实到=57 | 考核通关=56 | 认证=0
ID=0026 | 单位ID=0026 | 批次=1 | 类型=双轨运行与上线切换培训      | 日期=2025-12-17 | 形式=线上集中 | 应到=26 | 实到=22 | 考核通关=19 | 认证=0
ID=0028 | 单位ID=0028 | 批次=1 | 类型=双轨运行与上线切换培训      | 日期=2025-11-28 | 形式=线上集中 | 应到=67 | 实到=65 | 考核通关=61 | 认证=0
ID=0029 | 单位ID=0029 | 批次=1 | 类型=双轨运行与上线切换培训      | 日期=2025-11-19 | 形式=混合实训 | 应到=54 | 实到=51 | 考核通关=50 | 认证=0
ID=0039 | 单位ID=0039 | 批次=1 | 类型=双轨运行与上线切换培训      | 日期=2025-11-19 | 形式=现场实操 | 应到=29 | 实到=26 | 考核通关=24 | 认证=0
ID=0043 | 单位ID=0043 | 批次=1 | 类型=双轨运行与上线切换培训      | 日期=2025-11-20 | 形式=混合实训 | 应到=67 | 实到=63 | 考核通关=60 | 认证=0
