=== 数据准备度抽样样本 (覆盖全部八批及期初差异/动态同步细分) ===
单位ID=0001 | 批次=1 | 状态=已导入   | 期初差异=    0.00 | 动态成功=100 | 失败= 0 | 待处理=  0 | 最近同步=2026-08-30 16:12:00
单位ID=0106 | 批次=2 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 96 | 失败= 4 | 待处理=  0 | 最近同步=2026-08-30 10:18:00
单位ID=0234 | 批次=3 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 97 | 失败= 3 | 待处理=  0 | 最近同步=2026-08-30 18:25:00
单位ID=0235 | 批次=3 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 99 | 失败= 1 | 待处理=  0 | 最近同步=2026-08-30 11:46:00
单位ID=0236 | 批次=3 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 98 | 失败= 2 | 待处理=  0 | 最近同步=2026-08-30 11:10:00
单位ID=0237 | 批次=3 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 97 | 失败= 3 | 待处理=  0 | 最近同步=2026-08-30 18:43:00
单位ID=0238 | 批次=3 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 96 | 失败= 4 | 待处理=  0 | 最近同步=2026-08-30 19:42:00
单位ID=0239 | 批次=3 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 96 | 失败= 4 | 待处理=  0 | 最近同步=2026-08-30 13:36:00
单位ID=0240 | 批次=3 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 99 | 失败= 1 | 待处理=  0 | 最近同步=2026-08-30 12:17:00
单位ID=0241 | 批次=3 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 97 | 失败= 3 | 待处理=  0 | 最近同步=2026-08-30 12:50:00
单位ID=0242 | 批次=3 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 97 | 失败= 3 | 待处理=  0 | 最近同步=2026-08-30 11:38:00
单位ID=0243 | 批次=3 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 99 | 失败= 1 | 待处理=  0 | 最近同步=2026-08-30 17:42:00
单位ID=0398 | 批次=4 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 98 | 失败= 2 | 待处理=  0 | 最近同步=2026-08-30 18:19:00
单位ID=0399 | 批次=4 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 96 | 失败= 4 | 待处理=  0 | 最近同步=2026-08-30 15:19:00
单位ID=0400 | 批次=4 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 98 | 失败= 2 | 待处理=  0 | 最近同步=2026-08-30 12:45:00
单位ID=0401 | 批次=4 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 97 | 失败= 3 | 待处理=  0 | 最近同步=2026-08-30 20:21:00
单位ID=0402 | 批次=4 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 96 | 失败= 4 | 待处理=  0 | 最近同步=2026-08-30 18:50:00
单位ID=0403 | 批次=4 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 96 | 失败= 4 | 待处理=  0 | 最近同步=2026-08-30 21:25:00
单位ID=0404 | 批次=4 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 96 | 失败= 4 | 待处理=  0 | 最近同步=2026-08-30 14:21:00
单位ID=0405 | 批次=4 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 96 | 失败= 4 | 待处理=  0 | 最近同步=2026-08-30 17:22:00
单位ID=0406 | 批次=4 | 状态=已导入   | 期初差异=    0.00 | 动态成功=100 | 失败= 0 | 待处理=  0 | 最近同步=2026-08-30 11:38:00
单位ID=0407 | 批次=4 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 97 | 失败= 3 | 待处理=  0 | 最近同步=2026-08-30 09:18:00
单位ID=0579 | 批次=5 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 99 | 失败= 1 | 待处理=  0 | 最近同步=2026-08-30 16:58:00
单位ID=0580 | 批次=5 | 状态=校验通过  | 期初差异=  119.76 | 动态成功= 80 | 失败= 5 | 待处理= 15 | 最近同步=2026-08-30 10:35:00
单位ID=0581 | 批次=5 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 99 | 失败= 1 | 待处理=  0 | 最近同步=2026-08-30 09:57:00
单位ID=0582 | 批次=5 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 98 | 失败= 2 | 待处理=  0 | 最近同步=2026-08-30 13:51:00
单位ID=0583 | 批次=5 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 98 | 失败= 2 | 待处理=  0 | 最近同步=2026-08-30 13:34:00
单位ID=0584 | 批次=5 | 状态=校验通过  | 期初差异=   49.88 | 动态成功= 71 | 失败= 2 | 待处理= 27 | 最近同步=2026-08-30 12:33:00
单位ID=0585 | 批次=5 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 98 | 失败= 2 | 待处理=  0 | 最近同步=2026-08-30 13:37:00
单位ID=0586 | 批次=5 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 99 | 失败= 1 | 待处理=  0 | 最近同步=2026-08-30 10:55:00
单位ID=0587 | 批次=5 | 状态=校验通过  | 期初差异=  300.23 | 动态成功= 80 | 失败= 4 | 待处理= 16 | 最近同步=2026-08-30 14:23:00
单位ID=0588 | 批次=5 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 99 | 失败= 1 | 待处理=  0 | 最近同步=2026-08-30 11:39:00
单位ID=0782 | 批次=6 | 状态=校验通过  | 期初差异=   70.69 | 动态成功= 83 | 失败= 2 | 待处理= 15 | 最近同步=2026-08-30 10:31:00
单位ID=0783 | 批次=6 | 状态=收集中   | 期初差异= 5824.55 | 动态成功= 15 | 失败=11 | 待处理= 74 | 最近同步=2026-08-29 14:31:00
单位ID=0784 | 批次=6 | 状态=校验通过  | 期初差异=  143.80 | 动态成功= 77 | 失败= 6 | 待处理= 17 | 最近同步=2026-08-30 19:27:00
单位ID=0785 | 批次=6 | 状态=校验通过  | 期初差异=  159.35 | 动态成功= 74 | 失败= 3 | 待处理= 23 | 最近同步=2026-08-30 14:17:00
单位ID=0786 | 批次=6 | 状态=收集中   | 期初差异= 5810.05 | 动态成功= 17 | 失败= 9 | 待处理= 74 | 最近同步=2026-08-29 09:20:00
单位ID=0787 | 批次=6 | 状态=校验通过  | 期初差异=   66.79 | 动态成功= 72 | 失败= 2 | 待处理= 26 | 最近同步=2026-08-30 12:56:00
单位ID=0788 | 批次=6 | 状态=校验通过  | 期初差异=   29.83 | 动态成功= 82 | 失败= 3 | 待处理= 15 | 最近同步=2026-08-30 10:46:00
单位ID=0789 | 批次=6 | 状态=收集中   | 期初差异= 5682.00 | 动态成功= 33 | 失败=15 | 待处理= 52 | 最近同步=2026-08-29 10:23:00
单位ID=0790 | 批次=6 | 状态=校验通过  | 期初差异=  191.71 | 动态成功= 83 | 失败= 5 | 待处理= 12 | 最近同步=2026-08-30 12:11:00
单位ID=0791 | 批次=6 | 状态=收集中   | 期初差异= 3311.87 | 动态成功= 22 | 失败=14 | 待处理= 64 | 最近同步=2026-08-29 12:59:00
单位ID=1003 | 批次=7 | 状态=收集中   | 期初差异= 3597.75 | 动态成功= 43 | 失败= 5 | 待处理= 52 | 最近同步=2026-08-29 18:35:00
单位ID=1004 | 批次=7 | 状态=收集中   | 期初差异= 2474.62 | 动态成功= 18 | 失败=15 | 待处理= 67 | 最近同步=2026-08-29 11:49:00
单位ID=1005 | 批次=7 | 状态=收集中   | 期初差异= 2009.48 | 动态成功= 26 | 失败= 8 | 待处理= 66 | 最近同步=2026-08-29 09:48:00
单位ID=1006 | 批次=7 | 状态=收集中   | 期初差异= 2074.34 | 动态成功= 32 | 失败=15 | 待处理= 53 | 最近同步=2026-08-29 08:27:00
单位ID=1007 | 批次=7 | 状态=收集中   | 期初差异= 2215.43 | 动态成功= 44 | 失败=10 | 待处理= 46 | 最近同步=2026-08-29 17:56:00
单位ID=1008 | 批次=7 | 状态=收集中   | 期初差异= 8209.09 | 动态成功= 17 | 失败=10 | 待处理= 73 | 最近同步=2026-08-29 10:54:00
单位ID=1009 | 批次=7 | 状态=收集中   | 期初差异= 6610.44 | 动态成功= 33 | 失败=13 | 待处理= 54 | 最近同步=2026-08-29 19:24:00
单位ID=1010 | 批次=7 | 状态=收集中   | 期初差异= 5343.54 | 动态成功= 45 | 失败= 9 | 待处理= 46 | 最近同步=2026-08-29 09:46:00
单位ID=1011 | 批次=7 | 状态=收集中   | 期初差异= 4756.59 | 动态成功= 24 | 失败= 5 | 待处理= 71 | 最近同步=2026-08-29 16:43:00
单位ID=1012 | 批次=7 | 状态=收集中   | 期初差异= 6451.53 | 动态成功= 37 | 失败= 5 | 待处理= 58 | 最近同步=2026-08-29 10:23:00
单位ID=1241 | 批次=8 | 状态=未收集   | 期初差异=    0.00 | 动态成功=  0 | 失败= 0 | 待处理=100 | 最近同步=无                  
单位ID=1242 | 批次=8 | 状态=未收集   | 期初差异=    0.00 | 动态成功=  0 | 失败= 0 | 待处理=100 | 最近同步=无                  
单位ID=1243 | 批次=8 | 状态=未收集   | 期初差异=    0.00 | 动态成功=  0 | 失败= 0 | 待处理=100 | 最近同步=无                  
单位ID=1244 | 批次=8 | 状态=未收集   | 期初差异=    0.00 | 动态成功=  0 | 失败= 0 | 待处理=100 | 最近同步=无                  
单位ID=1245 | 批次=8 | 状态=未收集   | 期初差异=    0.00 | 动态成功=  0 | 失败= 0 | 待处理=100 | 最近同步=无                  
单位ID=1246 | 批次=8 | 状态=未收集   | 期初差异=    0.00 | 动态成功=  0 | 失败= 0 | 待处理=100 | 最近同步=无                  
单位ID=1247 | 批次=8 | 状态=未收集   | 期初差异=    0.00 | 动态成功=  0 | 失败= 0 | 待处理=100 | 最近同步=无                  
单位ID=1248 | 批次=8 | 状态=未收集   | 期初差异=    0.00 | 动态成功=  0 | 失败= 0 | 待处理=100 | 最近同步=无                  
单位ID=1249 | 批次=8 | 状态=未收集   | 期初差异=    0.00 | 动态成功=  0 | 失败= 0 | 待处理=100 | 最近同步=无                  
单位ID=1250 | 批次=8 | 状态=未收集   | 期初差异=    0.00 | 动态成功=  0 | 失败= 0 | 待处理=100 | 最近同步=无                  
