=== 覆盖八批及全部34省级行政区的单位抽样样本 ===
ID=0019 | 批次=1 | 状态=稳定运行    | 地区=北京市      | 名称=武陵发展研究所
ID=0789 | 批次=6 | 状态=已具备双轨条件 | 地区=上海市      | 名称=兰亭教育数字工坊
ID=0790 | 批次=6 | 状态=双轨运行中   | 地区=云南省      | 名称=建康制造有限公司
ID=0791 | 批次=6 | 状态=已具备双轨条件 | 地区=台湾省      | 名称=羊城信息技术有限公司
ID=0792 | 批次=6 | 状态=双轨运行中   | 地区=广西壮族自治区  | 名称=稽山现代物流研究院
ID=0793 | 批次=6 | 状态=双轨运行中   | 地区=山西省      | 名称=锦官智能有限责任公司
ID=0794 | 批次=6 | 状态=双轨运行中   | 地区=重庆市      | 名称=并州信息技术有限责任公司
ID=0795 | 批次=6 | 状态=双轨运行中   | 地区=四川省      | 名称=青城工程技术有限公司
ID=0796 | 批次=6 | 状态=双轨运行中   | 地区=广东省      | 名称=汴京生物科技控股有限公司
ID=1003 | 批次=7 | 状态=准备中     | 地区=西藏自治区    | 名称=茅山新能源技术服务部
ID=1004 | 批次=7 | 状态=准备中     | 地区=重庆市      | 名称=石鼓历史设计院
ID=1005 | 批次=7 | 状态=准备中     | 地区=福建省      | 名称=问津艺术设计院
ID=1006 | 批次=7 | 状态=准备中     | 地区=广西壮族自治区  | 名称=临安智造事业部
ID=1007 | 批次=7 | 状态=准备中     | 地区=青海省      | 名称=巴陵数据有限公司
ID=1008 | 批次=7 | 状态=准备中     | 地区=天津市      | 名称=江城投资事业部
ID=1009 | 批次=7 | 状态=准备中     | 地区=内蒙古自治区   | 名称=幽州网络科技研究所
ID=1010 | 批次=7 | 状态=准备中     | 地区=天津市      | 名称=雍州网络科技数字工坊
ID=1011 | 批次=7 | 状态=准备中     | 地区=河北省      | 名称=白鹿洞设计院
ID=1012 | 批次=7 | 状态=准备中     | 地区=江苏省      | 名称=奉天数字创意数字工坊
ID=1013 | 批次=7 | 状态=准备中     | 地区=江苏省      | 名称=建康发展股份有限公司
ID=1014 | 批次=7 | 状态=准备中     | 地区=河南省      | 名称=蓬莱信息技术股份有限公司
ID=1015 | 批次=7 | 状态=准备中     | 地区=山西省      | 名称=豫章科技控股有限公司
ID=1016 | 批次=7 | 状态=准备中     | 地区=内蒙古自治区   | 名称=钱塘咨询服务控股有限公司
ID=1017 | 批次=7 | 状态=准备中     | 地区=山东省      | 名称=巴陵通信有限公司
ID=1241 | 批次=8 | 状态=未启动     | 地区=辽宁省      | 名称=钱塘咨询服务有限公司
ID=1242 | 批次=8 | 状态=未启动     | 地区=安徽省      | 名称=蓬莱通信数字工坊
ID=1243 | 批次=8 | 状态=未启动     | 地区=陕西省      | 名称=沧浪投资集团有限公司
ID=1244 | 批次=8 | 状态=未启动     | 地区=青海省      | 名称=凉州新材料数字工坊
ID=1245 | 批次=8 | 状态=未启动     | 地区=江西省      | 名称=青州新能源控股有限公司
ID=1246 | 批次=8 | 状态=未启动     | 地区=天津市      | 名称=青州制造创新工场
ID=1247 | 批次=8 | 状态=未启动     | 地区=贵州省      | 名称=万松智能有限公司
ID=1248 | 批次=8 | 状态=未启动     | 地区=上海市      | 名称=沧浪软件集团有限公司
ID=1249 | 批次=8 | 状态=未启动     | 地区=福建省      | 名称=禅城通信有限公司
ID=1250 | 批次=8 | 状态=未启动     | 地区=河南省      | 名称=平城信息技术分公司
ID=1251 | 批次=8 | 状态=未启动     | 地区=宁夏回族自治区  | 名称=禅城能源技术服务部
ID=1252 | 批次=8 | 状态=未启动     | 地区=浙江省      | 名称=武陵实业有限责任公司
ID=1253 | 批次=8 | 状态=未启动     | 地区=青海省      | 名称=太白网络科技工程中心
ID=1254 | 批次=8 | 状态=未启动     | 地区=山西省      | 名称=汴京传媒研究所
ID=1255 | 批次=8 | 状态=未启动     | 地区=台湾省      | 名称=巴陵精密制造创新工场
