=== 会计凭证抽样样本 (100张) ===
ID=000001 | 单位ID=0001 | 凭证号=V-0000001 | 状态=已集成   | 借方= 75081.91 | 贷方= 75081.91 | 生成=2026-08-16 08:20:51 | 集成=2026-08-16 10:04:51
ID=000018 | 单位ID=0001 | 凭证号=V-0000018 | 状态=已集成   | 借方= 37943.85 | 贷方= 37943.85 | 生成=2026-06-22 14:02:26 | 集成=2026-06-22 14:18:26
ID=000019 | 单位ID=0001 | 凭证号=V-0000019 | 状态=已集成   | 借方= 16954.77 | 贷方= 16954.77 | 生成=2026-08-14 06:27:49 | 集成=2026-08-14 08:17:49
ID=000020 | 单位ID=0001 | 凭证号=V-0000020 | 状态=已集成   | 借方= 25432.16 | 贷方= 25432.16 | 生成=2026-08-14 06:27:49 | 集成=2026-08-14 08:17:49
ID=000021 | 单位ID=0001 | 凭证号=V-0000021 | 状态=已集成   | 借方= 20374.06 | 贷方= 20374.06 | 生成=2026-07-26 18:56:08 | 集成=2026-07-26 21:54:08
ID=000022 | 单位ID=0001 | 凭证号=V-0000022 | 状态=已集成   | 借方= 30561.10 | 贷方= 30561.10 | 生成=2026-07-26 18:56:08 | 集成=2026-07-26 21:54:08
ID=000023 | 单位ID=0001 | 凭证号=V-0000023 | 状态=已集成   | 借方= 11392.06 | 贷方= 11392.06 | 生成=2026-05-29 05:33:23 | 集成=2026-05-29 06:25:23
ID=000024 | 单位ID=0001 | 凭证号=V-0000024 | 状态=已集成   | 借方= 17088.10 | 贷方= 17088.10 | 生成=2026-05-29 05:33:23 | 集成=2026-05-29 06:25:23
ID=000025 | 单位ID=0001 | 凭证号=V-0000025 | 状态=已集成   | 借方=115139.42 | 贷方=115139.42 | 生成=2026-02-05 02:22:34 | 集成=2026-02-05 06:33:34
ID=000026 | 单位ID=0001 | 凭证号=V-0000026 | 状态=已集成   | 借方= 35386.82 | 贷方= 35386.82 | 生成=2025-11-23 19:33:48 | 集成=2025-11-23 21:15:48
ID=000027 | 单位ID=0001 | 凭证号=V-0000027 | 状态=已集成   | 借方= 22786.42 | 贷方= 22786.42 | 生成=2026-06-16 13:08:59 | 集成=2026-06-16 15:28:59
ID=000028 | 单位ID=0001 | 凭证号=V-0000028 | 状态=已集成   | 借方= 42139.33 | 贷方= 42139.33 | 生成=2026-07-09 23:54:53 | 集成=2026-07-10 03:12:53
ID=000029 | 单位ID=0001 | 凭证号=V-0000029 | 状态=已集成   | 借方= 10294.53 | 贷方= 10294.53 | 生成=2026-06-15 15:39:34 | 集成=2026-06-15 19:09:34
ID=000030 | 单位ID=0001 | 凭证号=V-0000030 | 状态=已集成   | 借方= 82470.97 | 贷方= 82470.97 | 生成=2026-04-06 01:39:12 | 集成=2026-04-06 07:30:12
ID=000031 | 单位ID=0001 | 凭证号=V-0000031 | 状态=已集成   | 借方=  9922.25 | 贷方=  9922.25 | 生成=2026-08-20 08:12:42 | 集成=2026-08-20 08:27:42
ID=000032 | 单位ID=0001 | 凭证号=V-0000032 | 状态=已集成   | 借方=  3076.07 | 贷方=  3076.07 | 生成=2026-01-02 04:53:32 | 集成=2026-01-02 09:08:32
ID=000033 | 单位ID=0001 | 凭证号=V-0000033 | 状态=已集成   | 借方= 37821.36 | 贷方= 37821.36 | 生成=2026-07-21 13:35:03 | 集成=2026-07-21 13:52:03
ID=000034 | 单位ID=0001 | 凭证号=V-0000034 | 状态=已集成   | 借方= 25124.40 | 贷方= 25124.40 | 生成=2025-11-18 02:18:51 | 集成=2025-11-18 06:47:51
ID=000035 | 单位ID=0001 | 凭证号=V-0000035 | 状态=已集成   | 借方= 37686.61 | 贷方= 37686.61 | 生成=2025-11-18 02:18:51 | 集成=2025-11-18 06:47:51
ID=000036 | 单位ID=0001 | 凭证号=V-0000036 | 状态=已集成   | 借方= 23142.92 | 贷方= 23142.92 | 生成=2026-04-16 05:14:44 | 集成=2026-04-16 10:51:44
ID=000037 | 单位ID=0001 | 凭证号=V-0000037 | 状态=已集成   | 借方= 34714.38 | 贷方= 34714.38 | 生成=2026-04-16 05:14:44 | 集成=2026-04-16 10:51:44
ID=000038 | 单位ID=0001 | 凭证号=V-0000038 | 状态=已集成   | 借方= 21579.58 | 贷方= 21579.58 | 生成=2026-01-15 21:53:04 | 集成=2026-01-15 22:48:04
ID=000039 | 单位ID=0001 | 凭证号=V-0000039 | 状态=已集成   | 借方= 32369.38 | 贷方= 32369.38 | 生成=2026-01-15 21:53:04 | 集成=2026-01-15 22:48:04
ID=000040 | 单位ID=0001 | 凭证号=V-0000040 | 状态=已冲销   | 借方= 12978.88 | 贷方= 12978.88 | 生成=2026-01-22 06:31:02 | 集成=无
ID=000041 | 单位ID=0001 | 凭证号=V-0000041 | 状态=已集成   | 借方= 36907.43 | 贷方= 36907.43 | 生成=2026-03-08 05:58:48 | 集成=2026-03-08 10:40:48
ID=000042 | 单位ID=0001 | 凭证号=V-0000042 | 状态=已集成   | 借方= 83010.80 | 贷方= 83010.80 | 生成=2026-01-03 06:31:02 | 集成=2026-01-03 12:18:02
ID=000043 | 单位ID=0001 | 凭证号=V-0000043 | 状态=集成失败  | 借方= 37049.37 | 贷方= 37049.37 | 生成=2026-01-09 23:36:43 | 集成=无
ID=000044 | 单位ID=0001 | 凭证号=V-0000044 | 状态=已集成   | 借方= 49628.90 | 贷方= 49628.90 | 生成=2026-05-14 05:33:31 | 集成=2026-05-14 06:52:31
ID=000045 | 单位ID=0001 | 凭证号=V-0000045 | 状态=已集成   | 借方= 27921.30 | 贷方= 27921.30 | 生成=2025-11-05 04:17:29 | 集成=2025-11-05 05:13:29
ID=000046 | 单位ID=0001 | 凭证号=V-0000046 | 状态=已集成   | 借方= 23621.56 | 贷方= 23621.56 | 生成=2026-01-27 20:21:02 | 集成=2026-01-27 20:46:02
ID=000047 | 单位ID=0001 | 凭证号=V-0000047 | 状态=已集成   | 借方= 14109.41 | 贷方= 14109.41 | 生成=2026-04-20 09:37:20 | 集成=2026-04-20 13:12:20
ID=000048 | 单位ID=0001 | 凭证号=V-0000048 | 状态=已集成   | 借方= 35307.40 | 贷方= 35307.40 | 生成=2026-03-02 22:37:25 | 集成=2026-03-03 04:33:25
ID=000049 | 单位ID=0001 | 凭证号=V-0000049 | 状态=已集成   | 借方= 45231.86 | 贷方= 45231.86 | 生成=2026-01-23 22:27:17 | 集成=2026-01-24 01:09:17
ID=000050 | 单位ID=0001 | 凭证号=V-0000050 | 状态=已集成   | 借方= 38954.40 | 贷方= 38954.40 | 生成=2026-07-15 15:43:28 | 集成=2026-07-15 16:24:28
ID=000051 | 单位ID=0001 | 凭证号=V-0000051 | 状态=已集成   | 借方= 73810.12 | 贷方= 73810.12 | 生成=2026-04-22 10:25:02 | 集成=2026-04-22 15:39:02
ID=000052 | 单位ID=0001 | 凭证号=V-0000052 | 状态=已集成   | 借方= 26776.61 | 贷方= 26776.61 | 生成=2026-05-04 10:36:48 | 集成=2026-05-04 13:04:48
ID=000053 | 单位ID=0001 | 凭证号=V-0000053 | 状态=已集成   | 借方=182720.26 | 贷方=182720.26 | 生成=2026-08-04 11:31:44 | 集成=2026-08-04 13:11:44
ID=000054 | 单位ID=0001 | 凭证号=V-0000054 | 状态=已集成   | 借方= 56354.68 | 贷方= 56354.68 | 生成=2026-05-12 11:03:36 | 集成=2026-05-12 14:22:36
ID=000055 | 单位ID=0001 | 凭证号=V-0000055 | 状态=已集成   | 借方= 21913.25 | 贷方= 21913.25 | 生成=2026-05-12 11:03:06 | 集成=2026-05-12 11:36:06
ID=000056 | 单位ID=0001 | 凭证号=V-0000056 | 状态=已集成   | 借方= 15411.44 | 贷方= 15411.44 | 生成=2026-07-24 06:11:47 | 集成=2026-07-24 09:24:47
ID=000057 | 单位ID=0001 | 凭证号=V-0000057 | 状态=已集成   | 借方= 40788.94 | 贷方= 40788.94 | 生成=2025-12-20 10:02:36 | 集成=2025-12-20 12:42:36
ID=000058 | 单位ID=0001 | 凭证号=V-0000058 | 状态=已集成   | 借方= 33509.07 | 贷方= 33509.07 | 生成=2026-07-03 05:14:14 | 集成=2026-07-03 05:35:14
ID=000059 | 单位ID=0001 | 凭证号=V-0000059 | 状态=已集成   | 借方= 62762.20 | 贷方= 62762.20 | 生成=2026-04-09 11:37:14 | 集成=2026-04-09 12:43:14
ID=000060 | 单位ID=0001 | 凭证号=V-0000060 | 状态=已集成   | 借方= 56653.95 | 贷方= 56653.95 | 生成=2026-02-01 12:25:50 | 集成=2026-02-01 16:42:50
ID=000061 | 单位ID=0001 | 凭证号=V-0000061 | 状态=已集成   | 借方=  7576.47 | 贷方=  7576.47 | 生成=2025-12-21 08:36:47 | 集成=2025-12-21 14:09:47
ID=000062 | 单位ID=0001 | 凭证号=V-0000062 | 状态=已集成   | 借方= 22826.57 | 贷方= 22826.57 | 生成=2026-04-23 23:47:50 | 集成=2026-04-24 05:06:50
ID=000063 | 单位ID=0001 | 凭证号=V-0000063 | 状态=已集成   | 借方= 54014.52 | 贷方= 54014.52 | 生成=2026-02-28 08:11:34 | 集成=2026-02-28 08:28:34
ID=000064 | 单位ID=0001 | 凭证号=V-0000064 | 状态=已集成   | 借方= 27977.83 | 贷方= 27977.83 | 生成=2025-12-07 11:09:18 | 集成=2025-12-07 12:22:18
ID=000065 | 单位ID=0001 | 凭证号=V-0000065 | 状态=已集成   | 借方= 27937.77 | 贷方= 27937.77 | 生成=2026-01-17 09:15:09 | 集成=2026-01-17 13:00:09
ID=000066 | 单位ID=0001 | 凭证号=V-0000066 | 状态=已集成   | 借方= 41906.66 | 贷方= 41906.66 | 生成=2026-01-17 09:15:09 | 集成=2026-01-17 13:00:09
ID=000067 | 单位ID=0001 | 凭证号=V-0000067 | 状态=已集成   | 借方= 12673.20 | 贷方= 12673.20 | 生成=2026-01-04 21:21:02 | 集成=2026-01-05 02:40:02
ID=000068 | 单位ID=0001 | 凭证号=V-0000068 | 状态=已集成   | 借方= 19009.79 | 贷方= 19009.79 | 生成=2026-01-04 21:21:02 | 集成=2026-01-05 02:40:02
ID=000069 | 单位ID=0001 | 凭证号=V-0000069 | 状态=已集成   | 借方= 10536.04 | 贷方= 10536.04 | 生成=2025-11-24 10:44:25 | 集成=2025-11-24 12:45:25
ID=000070 | 单位ID=0001 | 凭证号=V-0000070 | 状态=已集成   | 借方= 15804.05 | 贷方= 15804.05 | 生成=2025-11-24 10:44:25 | 集成=2025-11-24 12:45:25
ID=000071 | 单位ID=0001 | 凭证号=V-0000071 | 状态=已集成   | 借方=  2457.70 | 贷方=  2457.70 | 生成=2026-01-09 11:07:15 | 集成=2026-01-09 15:58:15
ID=000072 | 单位ID=0001 | 凭证号=V-0000072 | 状态=已集成   | 借方=  3686.56 | 贷方=  3686.56 | 生成=2026-01-09 11:07:15 | 集成=2026-01-09 15:58:15
ID=000073 | 单位ID=0001 | 凭证号=V-0000073 | 状态=已集成   | 借方= 11864.52 | 贷方= 11864.52 | 生成=2026-04-20 07:03:20 | 集成=2026-04-20 10:07:20
ID=000074 | 单位ID=0001 | 凭证号=V-0000074 | 状态=已集成   | 借方= 17796.79 | 贷方= 17796.79 | 生成=2026-04-20 07:03:20 | 集成=2026-04-20 10:07:20
ID=000075 | 单位ID=0001 | 凭证号=V-0000075 | 状态=已集成   | 借方=  6254.98 | 贷方=  6254.98 | 生成=2025-12-14 09:51:13 | 集成=2025-12-14 12:45:13
ID=000076 | 单位ID=0001 | 凭证号=V-0000076 | 状态=已集成   | 借方= 16878.64 | 贷方= 16878.64 | 生成=2026-08-29 12:20:09 | 集成=2026-08-29 13:02:09
ID=000077 | 单位ID=0001 | 凭证号=V-0000077 | 状态=已集成   | 借方= 24988.44 | 贷方= 24988.44 | 生成=2025-11-06 06:14:34 | 集成=2025-11-06 09:18:34
ID=000078 | 单位ID=0001 | 凭证号=V-0000078 | 状态=已集成   | 借方= 76397.53 | 贷方= 76397.53 | 生成=2026-03-17 04:36:09 | 集成=2026-03-17 05:15:09
ID=000079 | 单位ID=0001 | 凭证号=V-0000079 | 状态=已集成   | 借方= 18093.67 | 贷方= 18093.67 | 生成=2025-12-21 08:21:48 | 集成=2025-12-21 13:39:48
ID=000080 | 单位ID=0001 | 凭证号=V-0000080 | 状态=已集成   | 借方= 40200.96 | 贷方= 40200.96 | 生成=2026-01-16 14:53:22 | 集成=2026-01-16 20:10:22
ID=000081 | 单位ID=0001 | 凭证号=V-0000081 | 状态=已集成   | 借方= 38878.15 | 贷方= 38878.15 | 生成=2026-05-17 07:05:10 | 集成=2026-05-17 12:37:10
ID=000082 | 单位ID=0001 | 凭证号=V-0000082 | 状态=已集成   | 借方= 29459.87 | 贷方= 29459.87 | 生成=2026-08-27 06:14:41 | 集成=2026-08-27 11:01:41
ID=000083 | 单位ID=0001 | 凭证号=V-0000083 | 状态=已集成   | 借方= 40034.68 | 贷方= 40034.68 | 生成=2026-03-08 05:33:43 | 集成=2026-03-08 10:02:43
ID=000084 | 单位ID=0001 | 凭证号=V-0000084 | 状态=已集成   | 借方= 76804.04 | 贷方= 76804.04 | 生成=2025-12-12 07:41:27 | 集成=2025-12-12 09:59:27
ID=000085 | 单位ID=0001 | 凭证号=V-0000085 | 状态=已集成   | 借方= 41764.26 | 贷方= 41764.26 | 生成=2026-04-02 22:14:51 | 集成=2026-04-02 22:29:51
ID=000086 | 单位ID=0001 | 凭证号=V-0000086 | 状态=已集成   | 借方= 70787.53 | 贷方= 70787.53 | 生成=2026-01-02 14:27:40 | 集成=2026-01-02 15:35:40
ID=000087 | 单位ID=0001 | 凭证号=V-0000087 | 状态=已集成   | 借方= 45711.47 | 贷方= 45711.47 | 生成=2026-04-12 04:38:11 | 集成=2026-04-12 08:09:11
ID=000088 | 单位ID=0001 | 凭证号=V-0000088 | 状态=已集成   | 借方=  3672.94 | 贷方=  3672.94 | 生成=2026-04-05 10:59:12 | 集成=2026-04-05 12:38:12
ID=000089 | 单位ID=0001 | 凭证号=V-0000089 | 状态=已集成   | 借方=171380.18 | 贷方=171380.18 | 生成=2026-07-26 17:08:12 | 集成=2026-07-26 19:56:12
ID=000090 | 单位ID=0001 | 凭证号=V-0000090 | 状态=已集成   | 借方=144556.43 | 贷方=144556.43 | 生成=2026-03-30 14:09:51 | 集成=2026-03-30 15:03:51
ID=000091 | 单位ID=0001 | 凭证号=V-0000091 | 状态=已集成   | 借方= 19147.95 | 贷方= 19147.95 | 生成=2026-04-22 14:41:48 | 集成=2026-04-22 19:49:48
ID=000092 | 单位ID=0001 | 凭证号=V-0000092 | 状态=已集成   | 借方= 35132.94 | 贷方= 35132.94 | 生成=2025-11-29 17:28:07 | 集成=2025-11-29 22:00:07
ID=000093 | 单位ID=0001 | 凭证号=V-0000093 | 状态=已集成   | 借方= 52178.97 | 贷方= 52178.97 | 生成=2026-07-22 03:05:12 | 集成=2026-07-22 05:51:12
ID=000094 | 单位ID=0001 | 凭证号=V-0000094 | 状态=已集成   | 借方= 84904.16 | 贷方= 84904.16 | 生成=2026-04-12 04:26:15 | 集成=2026-04-12 07:22:15
ID=000095 | 单位ID=0001 | 凭证号=V-0000095 | 状态=已集成   | 借方= 62324.72 | 贷方= 62324.72 | 生成=2025-12-01 06:55:32 | 集成=2025-12-01 10:31:32
ID=000096 | 单位ID=0001 | 凭证号=V-0000096 | 状态=集成失败  | 借方= 62704.48 | 贷方= 62704.48 | 生成=2026-06-19 13:57:30 | 集成=无
ID=000097 | 单位ID=0001 | 凭证号=V-0000097 | 状态=已集成   | 借方=  7376.44 | 贷方=  7376.44 | 生成=2026-05-25 03:05:08 | 集成=2026-05-25 06:34:08
ID=000098 | 单位ID=0001 | 凭证号=V-0000098 | 状态=已集成   | 借方= 69097.37 | 贷方= 69097.37 | 生成=2025-11-18 19:13:22 | 集成=2025-11-18 23:59:22
ID=000099 | 单位ID=0001 | 凭证号=V-0000099 | 状态=已集成   | 借方= 63001.66 | 贷方= 63001.66 | 生成=2026-07-27 01:14:40 | 集成=2026-07-27 01:26:40
ID=000100 | 单位ID=0001 | 凭证号=V-0000100 | 状态=已集成   | 借方=  1601.92 | 贷方=  1601.92 | 生成=2026-06-25 06:02:11 | 集成=2026-06-25 07:42:11
